S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déform1[mm];C_1_Valeur de consigne[];C_1_Virtual Channel LX[];C_1_Virtual Channel LE[];C_1_Cycles[];C_1_Valeur de commande[%];C_1_Déplacement[mm]
193;19.3000243199999;11.2432870864868;0.0388999991118908;1.72698056697845;200.0;100.0;0.0;10.8695290982723;1.30589151382446
194;19.40004864;11.3143548965454;0.0397000014781952;1.73531591892242;200.0;100.0;0.0;7.84795060753822;1.31497263908386
195;19.5000729600001;11.3819122314453;0.0408999994397163;1.74364101886749;200.0;100.0;0.0;5.52050806581974;1.32429790496826
196;19.6000972800002;11.4486198425293;0.0417000018060207;1.75197637081146;200.0;100.0;0.0;3.88401001691818;1.33380210399628
197;19.7001216000003;11.5291786193848;0.0425000004470348;1.76031172275543;200.0;100.0;0.0;6.24546855688095;1.34368073940277
198;19.8000230400003;11.6113595962524;0.0438000001013279;1.7686470746994;200.0;100.0;0.0;8.19635316729546;1.35368943214417
199;19.9000473599999;11.6876640319824;0.045099999755621;1.77698242664337;200.0;100.0;0.0;9.88085567951202;1.36350297927856
200;20.00007168;11.751579284668;0.0463000014424324;1.78530752658844;200.0;100.0;0.0;10.4097150266171;1.37317001819611
201;20.1000960000001;11.8170900344849;0.0474000014364719;1.79364275932312;200.0;100.0;0.0;9.59309786558151;1.38262534141541
202;20.2001203200002;11.893874168396;0.0485000014305115;1.80197811126709;200.0;100.0;0.0;7.47243985533714;1.39265048503876
203;20.3000217600002;11.9831533432007;0.0498000010848045;1.81031346321106;200.0;100.0;0.0;4.98537421226501;1.40301728248596
204;20.4000460800003;12.0469884872437;0.0511000007390976;1.81864881515503;200.0;100.0;0.0;2.83650700002909;1.41296088695526
205;20.5000703999999;12.1163549423218;0.0524999983608723;1.826984167099;200.0;100.0;0.0;6.68727904558182;1.42283952236176
206;20.60009472;12.1954517364502;0.0538000017404556;1.83530926704407;200.0;100.0;0.0;9.43857952952385;1.43317377567291
207;20.7001190400001;12.2812747955322;0.0553999990224838;1.84364461898804;200.0;100.0;0.0;10.1787403225899;1.44354057312012
208;20.8000204800001;12.3454294204712;0.0571000017225742;1.85197997093201;200.0;100.0;0.0;10.4915268719196;1.4533703327179
209;20.9000448000002;12.4178791046143;0.0584999993443489;1.86031520366669;200.0;100.0;0.0;9.09395068883896;1.46341156959534
210;21.0000691200003;12.497932434082;0.059799998998642;1.86865055561066;200.0;100.0;0.0;6.10799081623554;1.47364819049835
211;21.1000934399999;12.5752210617065;0.0614000000059605;1.87697565555573;200.0;100.0;0.0;4.19249646365643;1.48383593559265
212;21.20011776;12.6323308944702;0.0627999976277351;1.88531100749969;200.0;100.0;0.0;3.3849660307169;1.49342155456543
213;21.3000192;12.7074127197266;0.064300000667572;1.89364635944366;200.0;100.0;0.0;7.06473812460899;1.50341415405273
