Index,Déplacement [ mm ],Force [ N ]
717,5.05331832671909,112979.599999937
718,5.05569332671909,113143.999999937
719,5.06306832671909,113331.599999937
720,5.06781832671909,113519.199999937
721,5.07269332671909,113675.999999937
722,5.0751933267191,113839.999999937
723,5.0824433267191,114051.199999937
724,5.0873183267191,114184.399999937
725,5.0933183267191,114356.399999937
726,5.0981933267191,114528.399999936
727,5.1018183267191,114684.799999936
728,5.1066933267191,114856.799999936
729,5.11394332671909,115028.799999936
730,5.1163183267191,115185.199999936
731,5.12119332671909,115380.799999936
732,5.12481832671909,115513.999999936
733,5.13094332671909,115677.999999936
734,5.13456832671909,115849.999999936
735,5.14056832671909,116022.399999936
736,5.1479433267191,116194.399999936
737,5.1503183267191,116381.999999935
738,5.1563183267191,116538.399999935
739,5.1600683267191,116687.199999935
740,5.1660683267191,116851.199999935
741,5.1696933267191,116960.799999935
742,5.1758183267191,117117.199999935
743,5.17944332671909,117281.599999935
744,5.18306832671909,117437.999999935
745,5.18906832671909,117586.399999935
746,5.19156832671909,117711.599999935
747,5.19756832671909,117883.599999935
748,5.20244332671909,118039.999999935
749,5.20606832671909,118219.999999934
750,5.21094332671909,118391.999999934
751,5.21694332671909,118563.999999934
752,5.2218183267191,118751.999999934
753,5.2279433267191,118915.999999934
754,5.2339433267191,119095.999999934
755,5.2375683267191,119260.399999934
756,5.2424433267191,119416.799999934
757,5.2473183267191,119580.799999934
758,5.25219332671909,119705.999999934
759,5.25819332671909,119870.399999934
760,5.26181832671909,120011.199999933
761,5.26669332671909,120159.599999933
762,5.27156832671909,120323.999999933
763,5.27644332671909,120488.399999933
764,5.28244332671909,120636.799999933
765,5.2873183267191,120777.599999933
766,5.2896933267191,120902.799999933
767,5.2945683267191,121051.199999933
768,5.2970683267191,121184.399999933
769,5.3043183267191,121332.799999933
770,5.3091933267191,121450.399999933
771,5.3151933267191,121606.799999933
772,5.3175683267191,121763.199999932
773,5.3224433267191,121927.199999932
774,5.32731832671909,122091.599999932
775,5.33456832671909,122294.799999932
776,5.33706832671909,122419.999999932
777,5.34306832671909,122568.799999932
778,5.34669332671909,122685.999999932
779,5.35031832671909,122842.399999932
780,5.35394332671909,123006.799999932
781,5.3588183267191,123155.199999932
782,5.3660683267191,123319.599999932
