R1B2_1,,,R1B2_2,,,R1B2_3,,,R1R2_1,,,R1R2_2,,,R1R2_3,,
Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse
sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm
1.38,44.88309,0.114925,1.38,59.96068,0.1148875,1.38,87.79208,0.1149,1.38,84.28892,0.1149,1.38,65.38073,0.1149125,1.38,67.71723,0.1149125
1.39,45.53477,0.11575,1.39,60.40573,0.115725,1.39,88.45329,0.1157375,1.39,84.76575,0.115725,1.39,65.96883,0.1157375,1.39,68.21632,0.115725
1.4,46.1642,0.1165875,1.4,60.87621,0.11655,1.4,89.12405,0.1165625,1.4,85.22987,0.116575,1.4,66.56011,0.1165625,1.4,68.72495,0.11655
1.41,46.77137,0.1174125,1.41,61.35941,0.1173875,1.41,89.79797,0.1174,1.41,85.69082,0.1174125,1.41,67.14503,0.1173875,1.41,69.26537,0.117375
1.42,47.38172,0.118225,1.42,61.83624,0.1182125,1.42,90.4719,0.1182375,1.42,86.17083,0.1182375,1.42,67.72677,0.118225,1.42,69.82803,0.1182
1.43,48.00479,0.11905,1.43,62.28447,0.11905,1.43,91.16173,0.1190625,1.43,86.66992,0.1190625,1.43,68.30215,0.11905,1.43,70.37798,0.11905
1.44,48.64057,0.119875,1.44,62.71998,0.1198875,1.44,91.84202,0.1198875,1.44,87.16901,0.1198875,1.44,68.8521,0.1198875,1.44,70.89933,0.1199
1.45,49.29225,0.1207125,1.45,63.14278,0.1207125,1.45,92.51913,0.1207125,1.45,87.65539,0.1207125,1.45,69.38934,0.1207125,1.45,71.42385,0.1207375
1.46,49.95028,0.1215625,1.46,63.57193,0.1215375,1.46,93.20577,0.121525,1.46,88.13858,0.1215375,1.46,69.92976,0.12155,1.46,71.96426,0.121575
1.47,50.60514,0.1224125,1.47,64.01698,0.122375,1.47,93.90195,0.1223625,1.47,88.62814,0.1223625,1.47,70.48925,0.1223875,1.47,72.50468,0.1224
1.48,51.25682,0.12325,1.48,64.46203,0.1232,1.48,94.56953,0.1232,1.48,89.12086,0.1231875,1.48,71.08053,0.1232125,1.48,73.03556,0.123225
