"C35",,
"Temps","Force","Stroke"
"sec","N","mm"
"5.25","697.1931","0.4373875"
"5.26","702.2285","0.4382125"
"5.27","707.2289","0.4390375"
"5.28","712.2199","0.439875"
"5.29","717.233","0.440725"
"5.3","722.2621","0.441575"
"5.31","727.3197","0.442425"
"5.32","732.3964","0.4432625"
"5.33","737.5081","0.4440875"
"5.34","742.658","0.4449125"
"5.35","747.7951","0.445725"
"5.36","752.9068","0.446575"
"5.37","757.9835","0.4474125"
"5.38","763.0284","0.44825"
"5.39","768.0607","0.449075"
"5.4","773.112","0.449925"
"5.41","778.1887","0.45075"
"5.42","783.2718","0.4515875"
"5.43","788.3485","0.4524125"
"5.44","793.4221","0.4532375"
"5.45","798.4861","0.4540625"
"5.46","803.5374","0.454875"
"5.47","808.5919","0.4556875"
"5.48","813.6336","0.456525"
"5.49","818.634","0.457375"
"5.5","823.5995","0.458225"
"5.51","828.5809","0.4590625"
"5.52","833.6258","0.4599"
"5.53","838.7597","0.4607375"
"5.54","843.9318","0.461575"
"5.55","849.1103","0.4623875"
"5.56","854.2538","0.4632375"
"5.57","859.3591","0.464075"
"5.58","864.4326","0.4649"
"5.59","869.4839","0.46575"
"5.6","874.5543","0.466575"
"5.61","879.6565","0.467425"
"5.62","884.765","0.4682625"
"5.63","889.8766","0.4690875"
"5.64","895.0202","0.4699125"
"5.65","900.1763","0.4707375"
"5.66","905.3135","0.47155"
"5.67","910.4125","0.472375"
"5.68","915.4828","0.4732"
"5.69","920.5309","0.4740375"
"5.7","925.5473","0.4749"
"5.71","930.5636","0.47575"
"5.72","935.6308","0.476575"
"5.73","940.7806","0.4774"
"5.74","946.0068","0.478225"
"5.75","951.2329","0.47905"
"5.76","956.4272","0.4799"
"5.77","961.5485","0.4807375"
"5.78","966.6252","0.481575"
"5.79","971.7178","0.4824125"
"5.8","976.8867","0.48325"
"5.81","982.0938","0.4840875"
"5.82","987.2881","0.484925"
"5.83","992.4666","0.48575"
"5.84","997.6546","0.486575"
"5.85","1002.836","0.4874"
"5.86","1008.008","0.488225"
"5.87","1013.145","0.48905"
"5.88","1018.248","0.4898875"
"5.89","1023.337","0.490725"
"5.9","1028.43","0.491575"
"5.91","1033.545","0.492425"
"5.92","1038.704","0.4932625"
"5.93","1043.917","0.4940875"
"5.94","1049.166","0.4949125"
"5.95","1054.414","0.4957375"
"5.96","1059.628","0.496575"
"5.97","1064.806","0.4974"
"5.98","1069.943","0.4982375"
"5.99","1075.064","0.499075"
"6","1080.227","0.4999125"
"6.01","1085.424","0.5007625"
"6.02","1090.628","0.5015875"
"6.03","1095.832","0.502425"
"6.04","1101.052","0.5032375"
"6.05","1106.265","0.504075"
"6.06","1111.447","0.5048875"
"6.07","1116.594","0.5057125"
"6.08","1121.731","0.5065375"
"6.09","1126.865","0.5073875"
"6.1","1131.976","0.5082375"
"6.11","1137.085","0.5090875"
"6.12","1142.222","0.509925"
"6.13","1147.42","0.51075"
"6.14","1152.674","0.5115625"
"6.15","1157.926","0.5123875"
"6.16","1163.139","0.513225"
"6.17","1168.302","0.5140625"
"6.18","1173.436","0.5149"
"6.19","1178.573","0.5157375"
"6.2","1183.761","0.516575"
"6.21","1188.993","0.5174125"
"6.22","1194.232","0.51825"
"6.23","1199.462","0.519075"
"6.24","1204.659","0.5199"
"6.25","1209.822","0.520725"
"6.26","1214.991","0.52155"
"6.27","1220.179","0.522375"
"6.28","1225.341","0.5232125"
"6.29","1230.459","0.5240625"
"6.3","1235.561","0.5249125"
"6.31","1240.708","0.52575"
"6.32","1245.912","0.5265875"
"6.33","1251.167","0.527425"
"6.34","1256.469","0.5282375"
"6.35","1261.794","0.52905"
"6.36","1267.083","0.5299"
"6.37","1272.281","0.5307375"
"6.38","1277.418","0.5315625"
"6.39","1282.543","0.5324"
"6.4","1287.696","0.5332375"
"6.41","1292.893","0.534075"
"6.42","1298.11","0.5349"
"6.43","1303.339","0.535725"
"6.44","1308.559","0.53655"
"6.45","1313.766","0.5373875"
"6.46","1318.947","0.5382125"
"6.47","1324.1","0.5390375"
"6.48","1329.254","0.5398625"
"6.49","1334.438","0.5407125"
"6.5","1339.63","0.5415625"
"6.51","1344.808","0.5424125"
"6.52","1350.012","0.54325"
"6.53","1355.279","0.5440875"
"6.54","1360.62","0.5449125"
"6.55","1365.964","0.5457375"
"6.56","1371.269","0.546575"
"6.57","1376.527","0.547425"
"6.58","1381.76","0.5482625"
"6.59","1386.999","0.5491"
"6.6","1392.272","0.5499375"
"6.61","1397.572","0.550775"
"6.62","1402.887","0.5516125"
"6.63","1408.192","0.5524375"
"6.64","1413.466","0.55325"
"6.65","1418.708","0.554075"
"6.66","1423.928","0.5548875"
"6.67","1429.129","0.5557125"
"6.68","1434.307","0.5565375"
"6.69","1439.466","0.557375"
"6.7","1444.62","0.558225"
"6.71","1449.772","0.5590625"
"6.72","1454.945","0.5599"
"6.73","1460.158","0.5607375"
"6.74","1465.406","0.5615625"
"6.75","1470.68","0.562375"
"6.76","1475.97","0.563225"
"6.77","1481.237","0.5640625"
"6.78","1486.448","0.5649"
"6.79","1491.629","0.5657375"
"6.8","1496.862","0.566575"
"6.81","1502.171","0.567425"
"6.82","1507.511","0.56825"
"6.83","1512.836","0.5690875"
"6.84","1518.151","0.5699"
"6.85","1523.476","0.570725"
"6.86","1528.8","0.5715625"
"6.87","1534.109","0.5723875"
"6.88","1539.392","0.5732125"
"6.89","1544.635","0.57405"
"6.9","1549.864","0.5748875"
"6.91","1555.119","0.575725"
"6.92","1560.411","0.5765625"
"6.93","1565.758","0.5774"
"6.94","1571.147","0.578225"
"6.95","1576.538","0.57905"
"6.96","1581.898","0.5798875"
"6.97","1587.222","0.580725"
"6.98","1592.534","0.5815625"
"6.99","1597.859","0.5824"
"7","1603.219","0.5832375"
"7.01","1608.594","0.584075"
"7.02","1613.995","0.5849125"
"7.03","1619.434","0.58575"
"7.04","1624.896","0.586575"
"7.05","1630.332","0.5874"
"7.06","1635.714","0.588225"
"7.07","1641.067","0.58905"
"7.08","1646.407","0.5898875"
"7.09","1651.732","0.5907375"
"7.1","1657.041","0.5916"
"7.11","1662.366","0.5924375"
"7.12","1667.741","0.593275"
"7.13","1673.18","0.5941"
"7.14","1678.657","0.594925"
"7.15","1684.103","0.5957375"
"7.16","1689.482","0.596575"
"7.17","1694.806","0.5974"
"7.18","1700.099","0.5982375"
"7.19","1705.395","0.599075"
"7.2","1710.714","0.5999125"
"7.21","1716.057","0.6007625"
"7.22","1721.423","0.6015875"
"7.23","1726.815","0.6024125"
"7.24","1732.235","0.6032375"
"7.25","1737.665","0.6040625"
"7.26","1743.04","0.604875"
"7.27","1748.333","0.6057"
"7.28","1753.591","0.6065375"
"7.29","1758.852","0.607375"
"7.3","1764.116","0.608225"
"7.31","1769.4","0.609075"
"7.32","1774.734","0.6099125"
"7.33","1780.128","0.610725"
"7.34","1785.564","0.61155"
"7.35","1791.016","0.612375"
"7.36","1796.436","0.613225"
