"CuivreC1",,,,"CuivreC1+N",,,,"AcierC70",,,
"Temps","Force","Stroke","Ext.1","Temps","Force","Stroke","Ext.1","Temps","Force","Stroke","Ext.1"
"sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm"
"1.49","726.2071","0.1240625","0.009536743","1.49","638.6979","0.12405","0.01029968","1.49","405.7121","0.124075","0.002733866"
"1.5","730.0822","0.1248875","0.01074473","1.5","640.6879","0.1248875","0.01029968","1.5","407.327","0.1248875","0.003178914"
"1.51","733.9509","0.1257125","0.0111262","1.51","642.6302","0.125725","0.01074473","1.51","408.9292","0.1257125","0.003560384"
"1.52","737.8165","0.126525","0.0111262","1.52","644.5472","0.12655","0.01074473","1.52","410.4964","0.1265375","0.003560384"
"1.53","741.6821","0.12735","0.01150767","1.53","646.4894","0.1273875","0.01074473","1.53","412.0223","0.1273625","0.003178914"
"1.54","745.5254","0.1281875","0.01150767","1.54","648.4445","0.128225","0.01029968","1.54","413.5005","0.1281875","0.003178914"
"1.55","749.3337","0.129","0.0111262","1.55","650.4027","0.1290625","0.01029968","1.55","414.9659","0.129025","0.003178914"
"1.56","753.1071","0.1298375","0.0111262","1.56","652.3482","0.1299","0.01029968","1.56","416.441","0.129875","0.003178914"
"1.57","756.8677","0.1307","0.0111262","1.57","654.2969","0.130725","0.01029968","1.57","417.9478","0.130725","0.003178914"
"1.58","760.6316","0.13155","0.0111262","1.58","656.2519","0.13155","0.01074473","1.58","419.4832","0.1315625","0.003178914"
"1.59","764.4081","0.1323875","0.01150767","1.59","658.2038","0.132375","0.01074473","1.59","421.0472","0.1324","0.003560384"
"1.6","768.2419","0.133225","0.0111262","1.6","660.1174","0.1331875","0.0111262","1.6","422.6208","0.133225","0.003178914"
"1.61","772.1647","0.13405","0.0111262","1.61","661.9866","0.134025","0.0111262","1.61","424.1753","0.1340375","0.002733866"
"1.62","776.1351","0.134875","0.01150767","1.62","663.8368","0.134875","0.01150767","1.62","425.7107","0.134875","0.002733866"
"1.63","780.0738","0.1357","0.01150767","1.63","665.6901","0.135725","0.01150767","1.63","427.2111","0.135725","0.002733866"
"1.64","783.9425","0.1365375","0.01150767","1.64","667.553","0.136575","0.01150767","1.64","428.6575","0.1365625","0.003178914"
"1.65","787.7668","0.1373875","0.01150767","1.65","669.419","0.1374125","0.01150767","1.65","430.1103","0.1374","0.003178914"
"1.66","791.5719","0.138225","0.01150767","1.66","671.3073","0.13825","0.0111262","1.66","431.6171","0.1382375","0.002733866"
"1.67","795.3644","0.1390625","0.01150767","1.67","673.2368","0.1390875","0.01150767","1.67","433.1302","0.139075","0.002733866"
"1.68","799.16","0.1399","0.01233419","1.68","675.1664","0.1399","0.01150767","1.68","434.618","0.1399125","0.002733866"
"1.69","802.962","0.14075","0.01271566","1.69","677.0674","0.140725","0.01188914","1.69","436.0835","0.1407375","0.002733866"
"1.7","806.7608","0.141575","0.01233419","1.7","678.9144","0.1415625","0.01188914","1.7","437.5521","0.1415625","0.002733866"
"1.71","810.5755","0.1423875","0.01150767","1.71","680.7136","0.1423875","0.01233419","1.71","439.0367","0.1423875","0.002733866"
"1.72","814.4188","0.1432125","0.0111262","1.72","682.462","0.143225","0.01233419","1.72","440.5022","0.1432125","0.002733866"
"1.73","818.2653","0.1440375","0.0111262","1.73","684.2104","0.1440625","0.01188914","1.73","441.9263","0.1440375","0.002733866"
"1.74","822.0736","0.1448625","0.0111262","1.74","685.997","0.1449","0.01188914","1.74","443.3314","0.1448625","0.002733866"
"1.75","825.8279","0.1456875","0.01188914","1.75","687.8058","0.1457375","0.01188914","1.75","444.7365","0.1457125","0.002733866"
"1.76","829.56","0.146525","0.01188914","1.76","689.605","0.1465625","0.01188914","1.76","446.1606","0.1465625","0.002733866"
"1.77","833.2984","0.1473625","0.01188914","1.77","691.3979","0.1473875","0.01188914","1.77","447.6261","0.1473875","0.002733866"
