Brut 1,,,Brut 2,,,Recuit,,,Recuit test 250°C,,,Etiré test amb,,,Etiré test 250°C,,
Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse
sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm
1.28,0.06357829,0.1065875,1.28,0.1144409,0.1065875,1.28,0.0222524,0.1065625,1.28,104.0014,0.1065625,1.28,-0.04768372,0.106575,1.28,12.20385,0.1065625
1.29,0.09854635,0.1074125,1.29,0.1144409,0.1074125,1.29,-0.003178914,0.1074,1.29,105.1362,0.1074,1.29,-0.05722046,0.1074125,1.29,12.15299,0.1073875
1.3,0.1398722,0.1082625,1.3,0.09854635,0.1082375,1.3,-0.006357829,0.10825,1.3,106.2743,0.1082375,1.3,-0.04132589,0.1082375,1.3,12.15299,0.1082125
1.31,0.1398722,0.1090875,1.31,0.07311503,0.1090875,1.31,-0.003178914,0.109075,1.31,107.3805,0.10905,1.31,-0.01589457,0.109075,1.31,12.17842,0.1090625
1.32,0.09854635,0.1099,1.32,0.06039937,0.1099125,1.32,0.003178914,0.1099125,1.32,108.4932,0.1098875,1.32,0.003178914,0.109925,1.32,12.15617,0.1098875
1.33,0.07311503,0.110725,1.33,0.06039937,0.1107625,1.33,-0.01271566,0.1107375,1.33,109.628,0.110725,1.33,0.009536743,0.1107625,1.33,12.11802,0.1107375
1.34,0.07947286,0.11155,1.34,0.05404155,0.1116,1.34,-0.03814697,0.1115625,1.34,110.7566,0.11155,1.34,0.01907349,0.1115875,1.34,12.1371,0.1115625
1.35,0.09854635,0.1123875,1.35,0.0445048,0.11245,1.35,-0.04768372,0.112375,1.35,111.8437,0.1123875,1.35,0.03496806,0.1124125,1.35,12.17842,0.1124
1.36,0.09854635,0.113225,1.36,0.03496806,0.113275,1.36,-0.04132589,0.1132,1.36,112.9278,0.113225,1.36,0.03814697,0.1132375,1.36,12.17206,0.113225
1.37,0.09536743,0.1140625,1.37,0.0445048,0.1141125,1.37,-0.01589457,0.114025,1.37,114.0563,0.1140625,1.37,0.03496806,0.1140625,1.37,12.14345,0.11405
1.38,0.08900961,0.114925,1.38,0.07311503,0.1149375,1.38,0.009536743,0.1148625,1.38,115.1816,0.1148875,1.38,0.009536743,0.1148875,1.38,12.16888,0.114875
1.39,0.09536743,0.11575,1.39,0.1080831,0.11575,1.39,0.01271566,0.1157125,1.39,116.2879,0.115725,1.39,0.003178914,0.1157125,1.39,12.23246,0.1157
1.4,0.1049042,0.1165875,1.4,0.1207987,0.116575,1.4,0.01271566,0.1165625,1.4,117.3751,0.11655,1.4,0.02861023,0.1165625,1.4,12.24836,0.1165375
